SKU,Product Title,QTY,Expiring QTY,Days till Expiration,Sell Out in Days,Unit Cost,Retail Price,Net Weight,Unit Gross Weight (g),Vendor-L,Farm Level,Product Type,Cacaonum,Allergens,Awards,Chocolate Type,Diet Icons,Exceeds Sellout,Source Country,Inclusion or Flavor,Tags-L
A-MOK-100,Moka Dark Ghana 72%,62,26,615,199,$3.90,$10.00,68,68,Moka Origins,"Farm 1,Farm 2",Chocolate Bars,72,"Trace Dairy,Peanut Free,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",,"Dark,Plain","Fair Trade,Kosher NFC,USDA Organic,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-415.71,Ghana,,"estate-ABOCFA,fudgy,marginmidplus,mcountry-United States,region-Suhum"
A-MOK-101,Moka Dark Uganda 72%,251,167,401,"1,883",$3.90,$10.00,68,68,Moka Origins,"Farm 1,Farm 2",Chocolate Bars,72,"Trace Dairy,Peanut Free,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Kosher NFC,USDA Organic,Non GMO,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy","1,481.5",Uganda,,"estate-Semuliki Forest,fudgy,marginmidplus,mcountry-United States,region-Bundibugyo"
A-MOK-102,Moka Dark Tanzania 72%,56,56,554,560,$3.90,$10.00,68,68,Moka Origins,"Farm 1,Farm 2",Chocolate Bars,,"Trace Dairy,Peanut Free,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Kosher NFC,USDA Organic,Non GMO,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",6,,,"marginmidplus,mcountry-United States,region-Morogoro,roasty"
A-MOK-103,Moka Dark Tanzania 85%,153,57,615,306,$3.90,$10.00,68,68,Moka Origins,"Farm 1,Farm 2",Chocolate Bars,85,"Trace Dairy,Peanut Free,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Kosher NFC,USDA Organic,Non GMO,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-309,Tanzania,,"estate-Kokoa Kamili,marginmidplus,mcountry-United States,region-Morogoro,roasty"
A-MOK-106,Moka Vanilla White Chocolate,61,25,615,239,$3.90,$10.00,68,68,Moka Origins,"Farm 1,Farm 2",Chocolate Bars,,"Contains Dairy,Peanut Free,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Plain,White","Fair Trade,Kosher NFC,USDA Organic,No Gluten,No Soy,No Tree Nuts",-376.3,Uganda,,"fudgy,marginmidplus,mcountry-United States"
A-MOK-107,Moka Dark Chocolate w/ Sea Salt 72%,65,29,584,532,$3.90,$10.00,68,68,Moka Origins,"Farm 1,Farm 2",Chocolate Bars,72,"Trace Dairy,Peanut Free,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain,Salt","Fair Trade,Kosher NFC,USDA Organic,Non GMO,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-52.18,Ghana,,"estate-ABOCFA,fudgy,marginmidplus,mcountry-United States,region-Suhum"
A-MOK-108,Moka Dark Cameroon 72%,289,49,462,929,$3.90,$10.00,68,68,Moka Origins,"Farm 1,Farm 2",Chocolate Bars,72,"Trace Dairy,Peanut Free,Sesame Free,Trace Soy,Trace Tree Nuts,Trace Gluten",,"Dark,Plain","Kosher NFC,Non GMO,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",466.93,Cameroon,,"fudgy,mcountry-United States"
A-MOK-200,Moka Dark Chocolate w/ Lemon Ginger 72%,36,36,645,270,$3.90,$10.00,68,68,Moka Origins,"Farm 1,Farm 2",Chocolate Bars,72,"Trace Dairy,Peanut Free,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",,"Dark,Flavored,Inclusions","Fair Trade,Kosher NFC,USDA Organic,Kosher,Non GMO,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-375,Ghana,"Fruit,Spice,Citrus","estate-ABOCFA,fudgy,marginmidplus,mcountry-United States,region-Suhum"
A-MOK-201,Moka Dark Chocolate w/ Toffee Almonds 72%,61,25,250,549,$3.90,$10.00,68,68,Moka Origins,"Farm 1,Farm 2",Chocolate Bars,72,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Contains Tree Nuts,Trace Gluten",,"Dark,Inclusions","Fair Trade,Kosher NFC,Organic Cacao,No Gluten,No Soy,No Dairy",299,Ghana,"Almond,Nuts","estate-ABOCFA,fudgy,marginmidplus,mcountry-United States,region-Suhum"
A-MOK-203,Moka Quinoa Crunch Milk Chocolate 58%,50,14,432,"4,500",$3.90,$10.00,60,90.72,Moka Origins,"Farm 1,Farm 2",Chocolate Bars,58,"Contains Dairy,Peanut Free,Trace Soy,Trace Tree Nuts,Trace Gluten,Sesame Free",,"Milk,Inclusions","Kosher NFC,USDA Organic,No Gluten,No Soy,No Tree Nuts","4,068",Ghana,Quinoa,mcountry-United States
